SUBSIDIARY_CD	SUPPLIER_CD	FACILITY_CD	PROCESSED_DATE	PROCESSED_QUANTITY	UPD_COUNT	DEL_FLG	REG_USR	REG_TIME	UPD_USR	UPD_TIME
MJP	7017	MAL	20161201	49999	0	0	LS_050	'2019-09-18'	LS_050	'2019-09-18'
MJP	7017	MAL	20161202	49999	0	0	LS_050	'2019-09-18'	LS_050	'2019-09-18'
MJP	7017	MAL	20161203	49999	0	0	LS_050	'2019-09-18'	LS_050	'2019-09-18'
MJP	7017	MAL	20161204	0	0	0	LS_050	'2019-09-18'	LS_050	'2019-09-18'
MJP	7017	MAL	20161205	49999	0	0	LS_050	'2019-09-18'	LS_050	'2019-09-18'
MJP	7017	MAL	20161206	49999	0	0	LS_050	'2019-09-18'	LS_050	'2019-09-18'
MJP	7017	MAL	20161207	49999	0	0	LS_050	'2019-09-18'	LS_050	'2019-09-18'
MJP	7017	MAL	20161208	49999	0	0	LS_050	'2019-09-18'	LS_050	'2019-09-18'
MJP	7017	MAL	20161209	49999	0	0	LS_050	'2019-09-18'	LS_050	'2019-09-18'
MJP	7017	MAL	20161210	49999	0	0	LS_050	'2019-09-18'	LS_050	'2019-09-18'
MJP	7017	MAL	20161211	0	0	0	LS_050	'2019-09-18'	LS_050	'2019-09-18'
MJP	7017	MAL	20161212	49999	0	0	LS_050	'2019-09-18'	LS_050	'2019-09-18'
MJP	7017	MAL	20161213	49999	0	0	LS_050	'2019-09-18'	LS_050	'2019-09-18'
MJP	7017	MAL	20161214	49999	0	0	LS_050	'2019-09-18'	LS_050	'2019-09-18'
MJP	7017	MAL	20161215	49999	0	0	LS_050	'2019-09-18'	LS_050	'2019-09-18'
MJP	7017	MAL	20161216	49999	0	0	LS_050	'2019-09-18'	LS_050	'2019-09-18'
MJP	7017	MAL	20161217	49999	0	0	LS_050	'2019-09-18'	LS_050	'2019-09-18'
MJP	7017	MAL	20161218	0	0	0	LS_050	'2019-09-18'	LS_050	'2019-09-18'
MJP	7017	MAL	20161219	49999	0	0	LS_050	'2019-09-18'	LS_050	'2019-09-18'
MJP	7017	MAL	20161220	49999	0	0	LS_050	'2019-09-18'	LS_050	'2019-09-18'
MJP	7017	MAL	20161221	49999	0	0	LS_050	'2019-09-18'	LS_050	'2019-09-18'
MJP	7017	MAL	20161222	49999	0	0	LS_050	'2019-09-18'	LS_050	'2019-09-18'
MJP	7017	MAL	20161223	49999	0	0	LS_050	'2019-09-18'	LS_050	'2019-09-18'
MJP	7017	MAL	20161224	49999	0	0	LS_050	'2019-09-18'	LS_050	'2019-09-18'
MJP	7017	MAL	20161225	0	0	0	LS_050	'2019-09-18'	LS_050	'2019-09-18'
MJP	7017	MAL	20161226	49999	0	0	LS_050	'2019-09-18'	LS_050	'2019-09-18'
MJP	7017	MAL	20161227	49999	0	0	LS_050	'2019-09-18'	LS_050	'2019-09-18'
MJP	7017	MAL	20161228	49999	0	0	LS_050	'2019-09-18'	LS_050	'2019-09-18'
MJP	7017	MAL	20161229	0	0	0	LS_050	'2019-09-18'	LS_050	'2019-09-18'
MJP	7017	MAL	20161230	0	0	0	LS_050	'2019-09-18'	LS_050	'2019-09-18'
MJP	7017	MAL	20161231	0	0	0	LS_050	'2019-09-18'	LS_050	'2019-09-18'
MJP	7017	MAL	20170101	0	0	0	LS_050	'2019-09-18'	LS_050	'2019-09-18'
MJP	7017	MAL	20170102	0	0	0	LS_050	'2019-09-18'	LS_050	'2019-09-18'
MJP	7017	MAL	20170103	0	0	0	LS_050	'2019-09-18'	LS_050	'2019-09-18'
MJP	7017	MAL	20170104	0	0	0	LS_050	'2019-09-18'	LS_050	'2019-09-18'
MJP	7017	MAL	20170105	49999	0	0	LS_050	'2019-09-18'	LS_050	'2019-09-18'
MJP	7017	MAL	20170106	49999	0	0	LS_050	'2019-09-18'	LS_050	'2019-09-18'
MJP	7017	MAL	20170107	49999	0	0	LS_050	'2019-09-18'	LS_050	'2019-09-18'
MJP	7017	MAL	20170108	0	0	0	LS_050	'2019-09-18'	LS_050	'2019-09-18'
MJP	7017	MAL	20170109	49999	0	0	LS_050	'2019-09-18'	LS_050	'2019-09-18'
MJP	7017	MAL	20170110	49999	0	0	LS_050	'2019-09-18'	LS_050	'2019-09-18'
MJP	7017	MAL	20170111	49999	0	0	LS_050	'2019-09-18'	LS_050	'2019-09-18'
MJP	7017	MAL	20170112	49999	0	0	LS_050	'2019-09-18'	LS_050	'2019-09-18'
MJP	7017	MAL	20170113	49999	0	0	LS_050	'2019-09-18'	LS_050	'2019-09-18'
MJP	7017	MAL	20170114	49999	0	0	LS_050	'2019-09-18'	LS_050	'2019-09-18'
MJP	7017	MAL	20170115	0	0	0	LS_050	'2019-09-18'	LS_050	'2019-09-18'
